Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
1487000,580,Mohali Sector 127,0,1,0,0,,,1,0,0,,0,,0,0,0
3190000,1000,Dhakoli Zirakpur,0,1,1,0,1.0,1.0,1,1,1,,0,1.0,0,1,1
3000000,1500,Dhakoli Zirakpur,0,1,0,0,1.0,,0,0,0,,0,1.0,0,1,0
5700000,1580,New Chandigarh Mullanpur,0,1,1,1,1.0,1.0,1,1,1,1.0,0,1.0,0,1,1
3100000,1000,Dhakoli Zirakpur,0,1,1,0,1.0,1.0,1,1,1,1.0,0,1.0,0,0,0
5819000,1580,Omaxe New Chandigarh,0,1,1,1,1.0,1.0,1,1,1,,0,1.0,0,1,1
5820000,1580,Omaxe New Chandigarh,0,1,1,1,1.0,1.0,1,1,1,,0,1.0,0,1,1
6300000,1725,New Chandigarh Mullanpur,0,1,0,0,,,0,0,0,,0,,0,0,0
5820000,1580,New Chandigarh Mullanpur,0,1,0,0,,,0,0,0,,0,,0,0,0
3039000,1098,Mohali Sec 117,0,1,0,0,,,1,0,0,,0,,0,0,0
14000000,2000,Mohali Sec 66,0,1,0,1,1.0,,0,0,0,,0,,0,0,0
3490000,850,Sec 124 Sunny Enclave,0,1,0,0,1.0,,1,0,0,,1,,0,0,0
6387000,1725,New Chandigarh Mullanpur,0,1,1,0,1.0,1.0,1,1,1,,0,,0,1,1
6390000,1725,New Chandigarh Mullanpur,0,1,1,0,1.0,,1,0,0,,0,,0,0,1
5890000,1580,New Chandigarh Mullanpur,0,1,0,1,,,0,0,0,,0,,0,0,0
9300000,1880,Mullanpur,0,0,1,1,1.0,1.0,1,1,1,,1,,0,0,1
22500000,3150,Sector 37,0,0,0,1,1.0,,1,0,0,,0,,0,0,0
22500000,2250,Sector 34,0,0,0,1,1.0,,1,0,0,,0,,0,0,0
15000000,1800,Sector 38,0,0,0,0,1.0,,0,0,0,,0,,0,0,0
3590000,1350,Mohali Sector 127,0,1,0,0,1.0,1.0,1,1,1,,0,,0,1,0
4454000,1800,New Chandigarh Mullanpur,0,1,1,1,1.0,,1,0,0,,0,,0,0,1
7990000,2250,DLF Mullanpur,0,1,1,1,1.0,1.0,1,1,1,,1,1.0,0,1,1
6396000,1725,New Chandigarh Mullanpur,0,1,1,0,1.0,,1,0,0,,0,,0,0,1
9390000,2250,DLF Mullanpur,0,1,0,0,,,0,0,0,,0,,0,0,0
8590000,2250,DLF Mullanpur,0,1,1,1,1.0,1.0,1,1,1,,1,1.0,0,1,1
3040000,1098,Mohali Sec 117,0,1,0,0,,,1,0,0,,0,,0,0,0
3690000,1100,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3590000,1100,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3950000,1044,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
2750000,900,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3690000,1100,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3590000,1100,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3950000,1044,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
2750000,900,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3690000,1100,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3590000,1100,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3950000,1044,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
2750000,900,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3690000,1100,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3590000,1100,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3950000,1044,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
2750000,900,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3590000,1100,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
3690000,1100,Dhakoli,0,0,0,0,,,0,0,0,,0,,0,0,0
1690000,550,Mohali Sec 125,0,1,1,0,1.0,1.0,1,1,0,1.0,1,,0,1,0
1790000,910,Mohali Sec 125,0,1,1,0,1.0,,1,1,0,1.0,1,1.0,0,1,0
1990000,910,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,1.0,0,1,0
1790000,915,Mohali Sec 125,0,1,1,0,1.0,,1,0,0,,1,,0,0,0
3090000,910,Mohali Sec 125,0,1,1,0,1.0,,1,0,0,,1,,0,0,0
1890000,610,Mohali Sec 125,0,1,1,0,1.0,,1,1,0,,1,,0,0,0
1490000,599,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,,1,,0,1,0
1690000,550,Mohali Sector 127,0,1,0,0,1.0,,1,1,0,,1,,0,1,0
1555000,588,Mohali Sec 125,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1990000,915,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
1890000,951,Mohali Sector 127,0,1,1,0,1.0,,1,1,0,1.0,1,,0,1,0
